nhl_game_id,play_by_play_id,is_goal,is_sog,shot_distance,abs_shot_angle,shot_type_bucket,rebound_bucket,rush_bucket,strength_bucket,shot_side,off_wing,previous_event_type,previous_event_seconds_delta,score_state_bucket,time_bucket,period_bucket
2025020056,3440866,0,0,52.92,157.797,wrist,not_rebound,not_rush,ev,left,true,hit,12,leading_by_1,late_period,p1
2025020056,3440872,0,1,52.43,145.098,slap,not_rebound,not_rush,ev,right,true,faceoff,16,leading_by_1,late_period,p1
2025020056,3440878,1,1,26.91,41.987,slap,not_rebound,not_rush,ev,left,false,faceoff,17,trailing_by_1,late_period,p1
2025020056,3440891,0,0,16.76,162.646,tip,not_rebound,not_rush,ev,center,unknown,faceoff,5,tied,late_period,p1
2025020985,3511814,0,1,41.76,163.301,snap,not_rebound,not_rush,ev,left,true,hit,15,trailing_by_2_plus,middle_period,p1
2025020985,3511816,0,1,11.05,174.806,wrist,rebound,not_rush,ev,center,unknown,shot-on-goal,1,trailing_by_2_plus,middle_period,p1
2025020985,3511823,1,1,23.77,165.379,snap,not_rebound,not_rush,ev,center,unknown,hit,30,trailing_by_2_plus,middle_period,p1
2025020985,3511869,0,0,19.42,101.889,snap,not_rebound,not_rush,pp,right,false,hit,40,trailing_by_1,late_period,p1
2025020985,3511873,0,1,38.60,126.573,slap,not_rebound,not_rush,ev,left,true,giveaway,18,trailing_by_1,late_period,p1
2025020985,3511889,0,0,18.36,29.358,tip,not_rebound,not_rush,ev,center,unknown,faceoff,12,leading_by_1,late_period,p1
2025020985,3511891,0,1,12.04,175.236,snap,not_rebound,not_rush,ev,center,unknown,missed-shot,10,trailing_by_1,late_period,p1
2025020985,3511905,0,0,13.60,36.027,wrist,not_rebound,not_rush,ev,center,unknown,faceoff,16,leading_by_1,late_period,p1
2025020985,3511913,0,0,12.81,51.340,backhand,not_rebound,not_rush,ev,right,false,faceoff,24,trailing_by_1,early_period,p2
2025020985,3511915,0,1,157.51,10.240,wrist,not_rebound,not_rush,pk,right,true,missed-shot,31,trailing_by_1,early_period,p2
2025020985,3511923,0,0,23.09,4.970,wrist,not_rebound,not_rush,ev,center,unknown,giveaway,10,trailing_by_1,early_period,p2
2025020985,3511927,0,1,33.53,17.354,wrist,rebound,rush_attempt,ev,left,false,blocked-shot,2,trailing_by_1,early_period,p2
2025020985,3511937,0,1,40.50,147.095,slap,not_rebound,not_rush,ev,right,true,faceoff,17,leading_by_1,early_period,p2
2025020985,3511939,0,0,32.65,139.970,wrist,not_rebound,not_rush,ev,left,false,shot-on-goal,39,leading_by_1,early_period,p2
2025020985,3511941,0,1,35.36,28.740,snap,not_rebound,not_rush,ev,left,true,missed-shot,11,trailing_by_1,early_period,p2
2025020985,3511947,0,0,8.25,14.036,tip,not_rebound,not_rush,ev,center,unknown,faceoff,37,trailing_by_1,early_period,p2
2025020985,3511957,0,0,41.68,59.744,wrist,not_rebound,not_rush,ev,left,true,faceoff,3,trailing_by_1,early_period,p2
2025020985,3511963,0,0,59.51,24.842,snap,not_rebound,not_rush,ev,left,false,faceoff,2,trailing_by_1,early_period,p2
2025020985,3511967,0,1,27.78,30.256,backhand,not_rebound,rush_attempt,ev,left,false,hit,5,trailing_by_1,early_period,p2
2025020985,3511981,0,0,67.42,147.724,wrist,not_rebound,not_rush,ev,left,true,delayed-penalty,3,leading_by_1,early_period,p2
