"*01mz2*","373","Ruslan Bashkirov","OTT","F","750000"
"*05o6l*","374","Roman Basran","","G","750000"
"*051ve*","375","Dominic Basse","CHI","G","750000"
"*03cz9*","376","Alex Basso","","D","750000"
"*03nph*","377","Jason Bast","","F","750000"
"*03zum*","378","Nathan Bastian","DAL","F","775000"
"*05uas*","379","Carter Batchelder","","F","750000"
"*04f2d*","380","Drake Batherson","OTT","F","4975000"
"*01mzs*","381","Andy Bathgate","PIT","F","750000"
"*05yk0*","382","Oskars Batna","","F","750000"
"*06mcy*","383","Jacob Battaglia","NYR","F","965000"
"*04l3t*","384","Mathias Bau","","F","750000"
"*060xn*","385","Samu Bau","UTA","F","750000"
"*05oy0*","386","Tyrel Bauer","WPG","D","775000"
"*04xbz*","387","Kyle Bauman","","F","750000"
"*05g43*","388","Benjamin Baumgartner","NJD","F","750000"
"*06tz0*","389","Joby Baumuller","","F","750000"
"*03mot*","390","Kyle Baun","","F","750000"
"*06tmi*","391","Roman Bausov","CAR","D","750000"
"*05y10*","392","Drew Bavaro","BOS","D","750000"
"*03tin*","393","Stephen Baylis","","F","750000"
"*03cyw*","394","Gavin Bayreuther","BUF","D","775000"
"*01zv8*","395","Cody Beach","","F","750000"
"*01586*","396","Kyle Beach","","F","750000"
"*0056j*","397","Jay Beagle","","F","750000"
"*06tz1*","398","Lieam Beamish","","F","750000"
"*042t0*","399","Jake Bean","CGY","D","1750000"
"*06rqm*","400","Carter Bear","DET","F","750000"
"*03rgs*","401","Ethan Bear","NYI","D","850000"
"*02oe4*","402","Matthew Beattie","VAN","F","750000"
"*04zsr*","403","Alex Beaucage","","F","750000"
"*04a7d*","404","Francois Beauchemin","OTT","F","750000"
"*0042c*","405","Rejean Beauchemin","","G","750000"
"*06tmu*","406","Quinn Beauchesne","PIT","D","750000"
"*03rfk*","407","J.C. Beaudin","MTL","F","750000"
"*04qvh*","408","Nicolas Beaudin","MTL","D","750000"
"*04l8x*","409","Charles-David Beaudoin","MTL","D","750000"
"*06hri*","410","Cole Beaudoin","NYR","F","941667"
"*01mk8*","411","Matt Beaudoin","","F","750000"
"*0042d*","412","Josh Beaulieu","","F","750000"
"*02b3e*","413","Nathan Beaulieu","","D","750000"
"*04n1x*","414","Philip Beaulieu","","D","750000"
"*060xu*","415","Mason Beaupit","SJS","G","750000"
"*02fd2*","416","Gabriel Beaupre","","D","750000"
"*03xmi*","417","Anthony Beauregard","","F","750000"
"*003uy*","418","Thomas Beauregard","MTL","F","750000"
"*03id9*","419","Brett Beauvais","","D","750000"
"*03raj*","420","Anthony Beauvillier","WSH","F","2750000"
"*02ob0*","421","Francis Beauvillier","","F","750000"
"*005gy*","422","Luke Beaverson","","D","750000"
"*061js*","423","Ondrej Becher","DET","F","750000"
"*03ca7*","424","Colton Beck","","F","750000"
"*05uft*","425","Jack Beck","","F","750000"
"*05gbz*","426","Noah Beck","","D","975000"
"*05ymo*","427","Owen Beck","MTL","F","886667"
"*01mzh*","428","Taylor Beck","","F","750000"
"*03rjr*","429","Jack Becker","DAL","F","750000"
"*060wg*","430","Joe Becker","","F","750000"
"*038of*","431","Kyle Becker","","D","750000"
"*004sm*","432","Chris Beckford-Tseu","","G","750000"
"*051m0*","433","Adam Beckman","COL","F","875000"
"*06tan*","434","Lucas Beckman","OTT","G","1028333"
"*06cle*","435","Owen Beckner","OTT","F","750000"
"*04y4m*","436","Connor Bedard","CHI","F","4450000"
"*06sqd*","437","David Bedkowski","BUF","D","750000"
"*05ge3*","438","Jan Bednar","","G","750000"
"*03rk1*","439","Ryan Bednard","LAK","G","750000"
"*06mb5*","440","Kamil Bednarik","NYI","F","750000"
"*04zow*","441","John Beecher","FLA","F","750000"
"*06sqn*","442","Nathan Behm","CHI","F","750000"
"*05tl5*","443","Sean Behrens","COL","D","930833"
"*031v0*","444","Alexandre Belanger","MIN","G","750000"
"*06loj*","445","Ethan Belchetz","UTA","F","750000"
"*005gk*","446","Matt Beleskey","","F","750000"
"*04zj6*","447","Matvei Belianini","","F","750000"
"*029jd*","448","Myles Bell","NJD","F","750000"
"*060xb*","449","Parker Bell","","F","857500"
"*0055j*","450","Rob Bellamy","","F","750000"
"*003tw*","451","Shawn Belle","","D","750000"
"*06tmt*","452","William Belle","TOR","F","750000"
"*03cyf*","453","Pierre-Edouard Bellemare","","F","750000"
"*005hx*","454","Brett Bellemore","","D","750000"
"*048xd*","455","Jordy Bellerive","PHI","F","750000"
"*05nzy*","456","Isaac Belliveau","","D","875000"
"*03vui*","457","Kieffer Bellows","NSH","F","750000"
"*030wy*","458","Anton Belov","","D","750000"
"*04bw5*","459","Nikolai Belov","","D","750000"
"*03ebk*","460","Louie Belpedio","WSH","D","812500"
"*04l8t*","461","Alex Belzile","MTL","F","850000"
"*04f29*","462","Emil Bemstrom","","F","750000"
"*06pyo*","463","Adam Benak","MIN","F","750000"
"*02yeq*","464","Marek Benda","","G","750000"
"*004o0*","465","Jordan Bendfeld","","D","750000"
"*03sct*","466","Christoffer Bengtsberg","","G","750000"
"*05xyh*","467","Jacob Bengtsson","TOR","F,D","750000"
"*03mnv*","468","Lukas Bengtsson","","D","750000"
"*02b71*","469","Rasmus Bengtsson","FLA","D","750000"
"*05r1i*","470","Matty Beniers","SEA","F","7142857"
"*03d0v*","471","Joey Benik","","F","750000"
"*04rhm*","472","Quinn Benjafield","","F","750000"
"*00qs7*","473","Jamie Benn","DAL","F","4000000"
"*02fsv*","474","Jordie Benn","","D","750000"
"*01zv6*","475","Beau Bennett","","F","750000"
"*02j3y*","476","Brett Bennett","UTA","G","750000"
"*0483n*","477","Kris Bennett","","F","750000"
"*01mzk*","478","Mac Bennett","","D","750000"
"*039cg*","479","Sam Bennett","FLA","F","8000000"
"*06tmj*","480","Trenten Bennett","NJD","G","750000"
"*02ob1*","481","Matt Benning","TOR","D","750000"
"*05ku9*","482","Mike Benning","CGY","D","850000"
"*01df9*","483","Andre Benoit","","D","750000"
"*05ug1*","484","Nate Benoit","MIN","D","750000"
"*04xav*","485","Simon Benoit","PHI","D","1350000"
"*02g2a*","486","Brent Benson","","F","750000"
"*015oj*","487","Hans Benson","EDM","F","750000"
"*037aa*","488","Tyler Benson","","F","750000"
"*05ylt*","489","Zach Benson","BUF","F","7500000"
"*06hbg*","490","Ben Berard","","F","750000"
"*05ltb*","491","Brett Berard","MTL","F","925000"
"*06pkj*","492","Mikey Berchild","CAR","F","750000"
"*042y9*","493","Mikhail Berdin","","G","750000"
"*04ajj*","494","Alexei Bereglazov","NYR","D","750000"
"*06yoe*","495","Stanislav Berezhnoy","CHI","G","975000"
"*05oym*","496","Maksim Berezkin","EDM","F","750000"
"*068yv*","497","Jackson Berezowski","","F","750000"
"*05nfv*","498","Cameron Berg","NYI","F","750000"
"*003yw*","499","Sean Bergenheim","","F","750000"
"*026kf*","500","Alain Berger","","F","750000"
"*050y3*","501","Carter Berger","NYR","D","750000"
"*04zja*","502","Chase Berger","PIT","F","750000"
"*061vx*","503","Micah Berger","","F","750000"
"*04yjz*","504","Justin Bergeron","","D","750000"
"*003xe*","505","Niclas Bergfors","NSH","F","750000"
"*04pn6*","506","Jonatan Berggren","STL","F","2000000"
"*03m3n*","507","Mason Bergh","LAK","F","750000"
"*051w4*","508","Axel Bergkvist","UTA","D","750000"
"*02g2v*","509","Victor Berglind","","D","750000"
"*06h7o*","510","Carl Berglund","","F","750000"
"*0419a*","511","Filip Berglund","EDM","D","750000"
"*051vk*","512","Gustav Berglund","DET","D","750000"
"*06mcw*","513","Jack Berglund","PHI","F","750000"
"*01gjv*","514","Kristofer Berglund","STL","D","750000"
"*0047d*","515","Patrik Berglund","","F","750000"
"*04f8f*","516","Victor Berglund","","D","750000"
"*03eat*","517","Julius Bergman","","D","750000"
"*063zf*","518","Ralfs Bergmanis","","D","750000"
"*04zuh*","519","Lean Bergmann","","F","750000"
"*06mqv*","520","Rasmus Bergqvist","MTL","D","750000"
"*06bus*","521","Arvid Bergstrom","","D","750000"
